#lD,,Make,Model,Bodywork,Operator,Chassis ID,Lifespan Expiry Date,Road Tax Expiry Date ,Livery,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,Advertisement Override,Registration Date
78,L,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000197,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
79,J,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000198,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
80,D,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000199,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
81,B,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000200,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
82,Z,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000201,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
83,X,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000202,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
84,T,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000203,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
85,R,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000204,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
86,M,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000205,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
87,K,Mercedes Benz,OC500LE,Gemilang,SMRT Buses,WEB63442021000206,07Jul2026,07Jul2020,Land Transport Authority (LTA)'s Lush Green livery,Refurbished,,,2,ZF Ecomat II 6HP 592C,LAWO Benefit,Vogelsitze System 750/3,SMC Transit,Denso LD8u,,08Jul2009
